POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2000,1449,940,440,110,21229
POA2007,281,166,54,22,5310
POA2008,402,224,57,13,7638
POA2009,998,825,301,65,9146
POA2010,2073,1164,532,162,20378
POA2011,1688,1231,588,299,14443
POA2015,658,319,90,22,8238
POA2016,999,623,294,94,9211
POA2017,1162,776,355,140,21080
POA2018,1105,653,322,94,11962
POA2019,896,493,210,74,7381
POA2020,890,426,191,49,14073
POA2021,1294,949,545,183,10590
POA2022,995,753,453,165,9174
POA2023,1065,867,378,109,6744
POA2024,1011,629,362,291,7403
POA2025,660,620,430,212,4897
POA2026,1993,1302,681,256,22646
POA2027,788,786,559,202,5455
POA2028,391,410,260,81,3257
POA2029,864,711,488,241,6303
POA2030,1528,1082,539,265,8518
POA2031,2582,1705,946,606,22304
POA2032,1007,662,340,136,8710
POA2033,771,488,306,148,7417
POA2034,1643,1037,454,156,13423
POA2035,2899,1847,981,423,20208
POA2036,2700,1769,922,326,18845
POA2037,1418,1052,442,101,11489
POA2038,886,631,223,69,6374
POA2039,784,605,209,30,5600
POA2040,1838,1113,436,187,13838
POA2041,1767,1372,619,118,10320
POA2042,1427,703,188,51,13091
POA2043,636,256,80,16,7245
POA2044,508,275,97,25,5049
POA2045,747,480,152,72,3547
POA2046,2539,1710,737,355,15693
POA2047,1183,884,444,225,7646
POA2048,615,342,166,50,5120
POA2049,910,560,204,90,8088
POA2050,625,351,123,22,6584
POA2060,1404,1119,718,191,11406
POA2061,719,613,384,88,4815
POA2062,627,484,259,55,4629
POA2063,729,519,298,174,3812
POA2064,691,502,218,84,5956
POA2065,2571,1948,909,299,22580
POA2066,2876,2023,1085,435,21530
POA2067,2003,1503,756,335,16989
POA2068,1750,1110,524,251,10069
POA2069,1530,1099,623,268,8820
POA2070,1486,1030,626,236,8788
POA2071,1482,984,606,307,8250
POA2072,883,592,318,103,5621
POA2073,1969,1243,625,236,10314
POA2074,2470,1774,1371,790,14217
POA2075,2197,1590,1176,445,12667
POA2076,2525,1827,1303,767,15046
POA2077,3291,2340,1153,449,26038
POA2079,819,425,187,36,4405
POA2080,187,108,63,7,999
POA2081,601,327,179,41,3054
POA2082,512,397,175,46,3053
POA2083,274,172,81,14,1049
POA2084,401,308,186,74,2125
POA2085,1009,794,678,250,6190
POA2086,1250,779,533,146,7705
POA2087,1248,727,583,273,7175
POA2088,3194,2449,1620,583,18400
POA2089,1035,790,452,177,8195
POA2090,1355,1152,576,181,9328
POA2092,795,458,255,71,4144
POA2093,2290,1345,727,265,13760
POA2094,667,407,210,44,4017
POA2095,1540,965,579,202,11339
POA2096,1313,768,328,91,9427
POA2097,1498,946,507,176,8937
POA2099,3449,2024,1139,428,24550
POA2100,1921,1180,625,315,12051
POA2101,1865,1383,881,509,11517
POA2102,678,457,353,231,4617
POA2103,1115,942,582,257,6293
POA2104,423,428,406,157,2273
POA2105,321,249,116,21,1280
POA2106,1283,871,432,100,5894
POA2107,1976,1542,748,271,9036
POA2108,261,287,174,34,1159
POA2110,1006,871,549,452,5945
POA2111,1412,928,486,248,9408
POA2112,2965,1867,863,447,22717
POA2113,1868,1180,583,331,17827
POA2114,2093,1318,562,178,15829
POA2115,878,498,233,112,6688
POA2116,574,293,145,33,3800
POA2117,1911,1070,550,244,11864
POA2118,2352,1569,837,268,15572
POA2119,1424,1063,649,248,7624
POA2120,2186,1508,817,230,12514
POA2121,3020,2073,901,351,21189
POA2122,2735,1911,958,415,18874
POA2125,1968,1610,571,155,9780
POA2126,2167,1515,677,354,11416
POA2127,1173,671,185,26,15524
POA2128,173,82,26,4,2510
POA2130,599,375,119,52,4866
POA2131,1677,1072,610,412,14720
POA2132,963,553,321,215,6027
POA2133,896,523,194,74,5551
POA2134,1038,638,318,188,11078
POA2135,1991,1259,675,321,16281
POA2136,639,376,211,75,4242
POA2137,2566,1792,888,272,16196
POA2138,1271,828,294,93,13012
POA2140,812,433,169,53,13348
POA2141,1859,1023,389,152,16700
POA2142,1208,677,255,74,13958
POA2143,577,325,125,42,4215
POA2144,1483,830,388,195,17188
POA2145,4880,3020,1488,656,46564
POA2146,1214,762,373,94,10292
POA2147,2607,1833,798,220,18589
POA2148,3864,2480,1127,434,33361
POA2150,1336,816,293,118,23250
POA2151,1673,1129,576,176,12240
POA2152,785,584,414,162,6285
POA2153,5031,3768,1938,590,34974
POA2154,3876,2918,1557,816,23598
POA2155,4948,2713,1091,320,40540
POA2156,1399,1056,680,220,7326
POA2157,374,261,97,25,2037
POA2158,941,626,402,188,4964
POA2159,569,435,250,87,2887
POA2160,2023,1075,504,197,17323
POA2161,1482,860,440,232,13301
POA2162,1086,643,281,206,7794
POA2163,517,357,150,93,4191
POA2164,1078,764,366,180,7586
POA2165,2030,1328,647,202,14540
POA2166,2092,1238,697,384,17182
POA2167,704,421,234,174,5547
POA2168,2480,1263,540,141,15663
POA2170,6398,3830,1880,796,49883
POA2171,2149,911,281,37,15990
POA2172,320,144,40,8,1578
POA2173,1083,430,130,34,7468
POA2174,416,169,45,4,5931
POA2175,142,65,40,8,770
POA2176,3123,2099,824,255,18704
POA2177,852,532,190,109,6012
POA2178,292,203,69,22,1822
POA2179,570,405,222,125,7550
POA2190,1437,809,349,149,10774
POA2191,470,243,118,50,2966
POA2192,834,446,228,133,6586
POA2193,1396,687,267,72,10003
POA2194,1405,710,344,162,12982
POA2195,1098,575,302,182,12187
POA2196,1736,882,452,182,14021
POA2197,523,350,167,89,3911
POA2198,475,361,310,170,4176
POA2199,986,609,266,119,7805
POA2200,2242,1333,660,311,20165
POA2203,1164,571,197,59,8675
POA2204,1741,955,388,129,15914
POA2205,1011,559,282,123,16186
POA2206,1566,850,498,291,9838
POA2207,2079,1319,701,437,13995
POA2208,886,579,277,113,6083
POA2209,1160,745,335,155,7834
POA2210,2544,1717,1090,600,16860
POA2211,1423,832,454,306,8825
POA2212,1137,705,360,290,8298
POA2213,1843,1051,459,172,11359
POA2214,285,209,116,16,1871
POA2216,1740,1128,539,190,15533
POA2217,2028,1154,720,476,16350
POA2218,1246,708,308,107,9026
POA2219,1261,830,459,196,7306
POA2220,2169,1286,603,332,19232
POA2221,1638,977,497,246,8946
POA2222,1028,633,259,130,7075
POA2223,1953,1359,597,270,12171
POA2224,1230,920,677,273,7583
POA2225,495,381,141,33,2998
POA2226,1170,821,397,180,7378
POA2227,1347,907,478,162,8430
POA2228,1541,1131,760,476,11486
POA2229,2607,1934,1020,556,16893
POA2230,3351,2480,1043,420,18715
POA2231,193,105,58,17,1209
POA2232,2847,1957,1221,491,20137
POA2233,2387,1826,1011,402,15815
POA2234,3401,2187,650,189,16379
POA2250,6078,4468,2528,1341,37672
POA2251,3367,2771,1577,622,18039
POA2256,1452,1289,747,250,8222
POA2257,2794,2597,1442,448,15661
POA2258,567,316,123,31,2799
POA2259,4752,3737,2291,811,30973
POA2260,2540,2081,984,229,14341
POA2261,4468,3814,1942,877,27305
POA2262,1508,1062,629,179,9259
POA2263,1843,1598,907,380,11287
POA2264,1401,1334,848,286,8152
POA2265,617,544,387,241,3971
POA2267,336,399,175,31,1660
POA2278,216,161,33,4,1227
POA2280,2523,2058,1087,389,14024
POA2281,1547,1377,642,215,7804
POA2282,1566,1366,735,202,8760
POA2283,2389,2259,1108,364,12675
POA2284,1061,803,466,212,6402
POA2285,2115,1497,793,281,16495
POA2286,294,268,111,21,2194
POA2287,2590,1923,946,420,20095
POA2289,1569,1040,644,229,10990
POA2290,2809,2007,1144,485,18264
POA2291,1472,1011,425,182,8590
POA2292,209,120,43,9,1480
POA2293,303,218,60,8,2116
POA2294,161,108,47,10,1196
POA2295,743,737,296,121,4197
POA2296,159,102,24,3,1286
POA2297,165,80,25,5,1062
POA2298,671,443,313,346,5610
POA2299,820,526,257,151,6222
POA2300,1310,959,406,80,8172
POA2302,126,120,93,39,981
POA2303,946,728,280,121,5645
POA2304,1127,783,360,254,8523
POA2305,1252,887,406,157,7313
POA2306,173,143,59,20,1184
POA2307,236,214,162,52,2222
POA2308,0,0,0,0,509
POA2311,89,68,28,10,421
POA2312,175,126,56,9,717
POA2315,1679,1743,1032,363,8366
POA2316,753,714,390,73,3586
POA2317,663,715,510,140,3434
POA2318,1145,924,437,62,6752
POA2319,699,643,314,64,3277
POA2320,2813,1920,902,274,18437
POA2321,1336,987,410,90,9566
POA2322,1489,926,391,73,10880
POA2323,2086,1522,678,237,12658
POA2324,2242,2109,1136,354,11918
POA2325,2321,1796,768,265,14489
POA2326,545,377,139,25,3218
POA2327,468,378,163,67,3213
POA2328,184,122,48,24,1131
POA2329,163,157,55,32,930
POA2330,1596,937,374,98,9924
POA2331,4,9,0,0,298
POA2333,909,533,224,66,6017
POA2334,157,102,55,7,1448
POA2335,570,335,98,18,3935
POA2336,221,110,56,17,1127
POA2337,599,424,222,89,3744
POA2338,166,142,63,31,741
POA2339,66,41,16,0,315
POA2340,3716,2838,1597,541,24434
POA2341,97,96,41,10,538
POA2342,34,35,12,0,216
POA2343,405,346,174,48,2277
POA2344,75,50,13,0,313
POA2345,54,40,12,3,320
POA2346,247,212,93,24,1331
POA2347,167,131,86,24,762
POA2350,2367,1788,1077,351,14702
POA2352,203,207,78,13,1357
POA2353,105,79,35,20,571
POA2354,340,316,153,35,1705
POA2355,73,65,19,3,297
POA2356,14,3,5,0,43
POA2357,368,362,171,91,2000
POA2358,402,341,124,42,1896
POA2359,68,37,22,5,314
POA2360,1125,916,495,148,6671
POA2361,81,72,39,7,395
POA2365,344,271,150,46,1827
POA2369,59,34,15,0,292
POA2370,695,637,308,106,3729
POA2371,130,139,47,18,564
POA2372,483,516,211,51,2276
POA2379,24,16,4,0,146
POA2380,767,535,309,127,4948
POA2381,110,74,16,11,514
POA2382,80,58,42,22,607
POA2386,18,16,10,0,133
POA2387,12,3,0,0,96
POA2388,206,118,59,17,1034
POA2390,680,425,189,64,3776
POA2395,65,75,26,4,305
POA2396,62,66,30,8,338
POA2397,14,24,9,0,122
POA2398,28,9,4,0,127
POA2399,64,35,20,0,307
POA2400,737,490,219,74,4629
POA2401,21,12,0,0,110
POA2402,134,94,66,16,714
POA2403,56,49,15,8,325
POA2404,154,135,79,24,709
POA2405,37,35,16,0,252
POA2406,47,27,18,7,321
POA2408,27,11,9,0,147
POA2409,88,49,14,0,452
POA2410,21,17,8,0,117
POA2411,14,3,0,0,60
POA2415,43,40,19,0,211
POA2420,423,325,164,40,1951
POA2421,193,161,51,8,1079
POA2422,594,594,275,87,2741
POA2423,390,361,133,34,1600
POA2424,58,44,9,4,245
POA2425,202,143,73,14,984
POA2426,91,59,25,5,375
POA2427,393,563,253,57,1780
POA2428,2480,2829,1656,664,12888
POA2429,1046,857,375,87,4648
POA2430,3431,3274,1713,605,17857
POA2431,593,668,322,117,2868
POA2439,405,501,231,55,2095
POA2440,2124,1678,701,240,10997
POA2441,543,444,100,23,2182
POA2443,973,1089,632,225,4494
POA2444,4523,4247,2497,1088,26719
POA2445,817,759,435,72,3932
POA2446,1339,1098,510,181,7269
POA2447,842,681,296,96,3757
POA2448,1053,1022,566,164,4851
POA2449,273,180,55,8,1030
POA2450,4269,3599,1825,690,24226
POA2452,1293,1120,587,248,7615
POA2453,356,307,144,41,1434
POA2454,992,800,304,83,4506
POA2455,381,361,163,48,1679
POA2456,1511,1436,537,157,8670
POA2460,2711,2125,1004,403,15021
POA2462,274,273,81,13,1219
